SEKVENCA,SIFRA,ZAPISNIK,DATUM_ZAP,ZAP_ST,DRZ_KRAVE,ST_KRAVE,KG_MLEKA,MASC,BELJ,LAKT,SS,NSS,CELICE,DAT_ANA,CAS_ANA,UREA,ANPRENOS_ID_SEQ,METODA,CAS_KON,VRSTICA,JE_SEQ,ZMRZISCE,AND_ID_SEQ,BHB,ACETON,OPOMBA,RCT,A30,PASMA,DAT_ROJSTVO,ZAPTEL,DATTEL,Dat_Analiza,Dat_tel,DIM
1753328,6748,555743,2017-11-28,1,SI,62947831,9.8,3.71,3.52,4.53,8.76,0,89,2017-11-30,NA,0.013,65102358,0,2,NA,NA,0,6765,0,0,NA,1.78,42.52,Lisasta,18.09.2004,10,21.11.2017,2017-11-29,2017-11-21,8
1758853,15951,555377,2017-11-24,1,SI,52923081,9.4,4.52,3.96,4.44,9.12,0,223,2017-11-24,NA,0.032,65089930,0,1,NA,NA,0,6750,-0.02,-0.11,NA,0,47.61,Lisasta,25.10.2004,10,20.06.2017,2017-11-23,2017-06-20,156
1774037,15951,555377,2017-11-24,2,SI,32977501,11.5,4.13,3.38,4.42,8.5,0,7410,2017-11-24,NA,0.022,65089931,0,1,NA,NA,0,6750,0.06,-0.04,NA,1.74,38.52,Lisasta,15.11.2004,9,10.11.2017,2017-11-23,2017-11-10,13
1778340,5448,555538,2017-11-26,1,SI,42950756,6.5,4.12,3.91,4.63,9.25,0,225,2017-11-28,NA,0.015,65093801,0,1,NA,NA,0,6753,0,-0.09,NA,0.65,45.36,Lisasta,03.12.2004,9,02.12.2016,2017-11-27,2016-12-02,360
1795291,11549,555398,2017-11-24,1,SI,02986856,7.8,4.31,4.22,4.44,9.37,0,60,2017-11-27,NA,0.022,65090907,0,1,NA,NA,0,6750,0,0,NA,0.16,45.79,Lisasta,13.01.2005,8,14.05.2017,2017-11-26,2017-05-14,196
1796517,5355,555353,2017-11-24,1,SI,62985093,5.8,5.75,3.85,3.93,8.49,0,272,2017-11-24,NA,0.014,65089421,0,1,NA,NA,0,6750,0.11,-0.08,NA,1.74,37.29,Rjava,10.01.2005,8,26.11.2016,2017-11-23,2016-11-26,362
1796980,9212,555221,2017-11-22,1,SI,92981838,5.5,3.83,3.28,4.59,8.58,0,256,2017-11-24,NA,0.025,65087993,0,2,NA,NA,0,6747,0,0,NA,2,38.91,Lisasta,21.01.2005,9,24.05.2017,2017-11-23,2017-05-24,183
1804207,31673,555417,2017-11-24,1,SI,63002603,9,4.62,3.29,4.74,8.74,0,117,2017-11-27,NA,0.012,65091284,0,1,NA,NA,0,6750,0,0,NA,0.81,44.25,Lisasta,29.01.2005,11,05.11.2017,2017-11-26,2017-11-05,21
1807231,1520,555158,2017-11-21,1,SI,92982334,7.8,3.7,3.57,4.66,8.94,0,233,2017-11-23,NA,0.015,65085201,0,1,NA,NA,0,6747,0,0,NA,0,54.6,Rjava,07.02.2005,10,12.11.2017,2017-11-22,2017-11-12,10
1813011,8146,555627,2017-11-28,2,SI,92986455,6,2.86,2.97,5.03,8.71,0,35,2017-11-29,NA,0.004,65097168,0,1,NA,NA,0,6756,0,0,NA,1.21,44.29,Lisasta,23.02.2005,11,28.07.2017,2017-11-28,2017-07-28,123
1819370,21248,555421,2017-11-24,1,SI,92990393,10.1,3.28,3.32,4.15,8.18,0,4326,2017-11-27,NA,0.033,65091309,0,1,NA,NA,0,6750,0,0,NA,2.72,32.76,Lisasta,07.03.2005,11,22.07.2017,2017-11-26,2017-07-22,127
1843598,10352,555290,2017-11-24,1,SI,92995336,5,5.23,4.58,4.46,9.75,0,111,2017-11-24,NA,0.009,65088550,0,2,NA,NA,0,6747,0,0,NA,0,51.34,Lisasta,24.03.2005,8,01.06.2016,2017-11-23,2016-06-01,540
1953644,20022,555453,2017-11-27,1,SI,93043339,8.1,3.09,2.85,4.11,7.68,0,689,2017-11-27,NA,0.001,65091403,0,1,NA,NA,0,6750,0.05,-0.05,NA,2.46,34.13,Lisasta,25.05.2005,10,28.09.2017,2017-11-26,2017-09-28,59
1959688,11057,555312,2017-11-23,1,SI,63013270,5,5.11,4.45,4.21,9.38,0,181,2017-11-24,NA,0.019,65088716,0,2,NA,NA,0,6747,0,0,NA,0.17,48.97,Rjava,01.06.2005,9,07.10.2016,2017-11-23,2016-10-07,412
1960642,24533,555228,2017-11-22,1,SI,23043374,4,4.46,3.49,4.32,8.51,0,1999,2017-11-24,NA,0.016,65088084,0,1,NA,NA,0,6747,0,0,NA,2.47,37.25,Lisasta,09.06.2005,9,22.05.2017,2017-11-23,2017-05-22,185
1966756,31866,555231,2017-11-22,2,SI,43014534,0,4.44,3.69,4.56,8.97,0,3619,2017-11-24,NA,0.006,65088126,0,2,NA,NA,0,6747,0,0,NA,1.11,44.16,Rjava,04.07.2005,9,07.07.2017,2017-11-23,2017-07-07,139
1968619,32717,555330,2017-11-23,1,SI,23039632,4.4,5.45,4.08,4.5,9.29,0,187,2017-11-24,NA,0.016,65089054,0,1,NA,NA,0,6747,0.06,-0.02,NA,0.62,46.29,Rjava,03.07.2005,9,04.12.2016,2017-11-23,2016-12-04,354
1974033,20000,555249,2017-11-21,1,SI,13045195,5.4,5.22,3.62,4.27,8.6,0,507,2017-11-24,NA,0.004,65088310,0,2,NA,NA,0,6747,0.07,-0.02,NA,1.77,39.22,Lisasta,27.05.2005,9,20.06.2017,2017-11-23,2017-06-20,156
1977034,8976,555157,2017-11-17,1,SI,82915809,8,3.89,3.57,4.84,9.11,0,75,2017-11-23,NA,0.015,65085185,0,2,NA,NA,0,6747,0,0,NA,0.15,48.74,Rjava,02.07.2005,9,02.11.2017,2017-11-22,2017-11-02,20
1991574,7777,555745,2017-11-27,2,SI,53077839,6,2.91,3.18,4.56,8.45,0,125,2017-11-30,NA,0.024,65102386,0,2,NA,NA,0,6765,0,0,NA,0.82,46.76,Rjava,25.08.2005,8,20.07.2017,2017-11-29,2017-07-20,132
1993739,86,555236,2017-11-21,1,SI,83080364,7,3.89,3.93,4.6,9.24,0,240,2017-11-24,NA,0.018,65088179,0,2,NA,NA,0,6747,0,0,NA,1.33,41.61,Rjava,27.08.2005,8,14.03.2017,2017-11-23,2017-03-14,254
2003627,7137,555579,2017-11-28,1,SI,83052637,26.6,2.72,2.9,4.58,8.19,0,277,2017-11-28,NA,0.022,65094250,0,1,NA,NA,0,6753,0.02,-0.03,NA,2.26,35.2,Holstein,30.08.2005,10,29.10.2017,2017-11-27,2017-10-29,29
2003627,7137,555579,2017-11-28,2,SI,33837714,19.2,2.73,2.91,4.57,8.19,0,280,2017-11-28,NA,0.023,65094251,0,1,NA,NA,0,6753,0,-0.06,NA,2.22,36.14,Holstein,30.08.2005,10,29.10.2017,2017-11-27,2017-10-29,29
2008491,5603,555514,2017-11-23,1,SI,43048360,3.8,4.18,3.69,4.07,8.47,0,273,2017-11-28,NA,0.018,65093602,0,2,NA,NA,0,6753,0.07,-0.04,NA,2.35,32.81,Holstein,17.09.2005,6,26.03.2016,2017-11-27,2016-03-26,611
2017103,30942,555667,2017-11-27,1,SI,03086997,12,4.08,2.94,4.74,8.39,0,195,2017-11-29,NA,0.009,65099455,0,1,NA,NA,0,6762,0,0,NA,2.3,37.55,Lisasta,08.09.2005,10,05.09.2017,2017-11-28,2017-09-05,84
2029845,11009,555752,2017-11-28,2,SI,33092470,3.4,5.14,4.04,4.45,9.21,0,184,2017-11-30,NA,0.01,65102515,0,1,NA,NA,0,6765,0,0,NA,0.3,49.07,Lisasta,01.11.2005,5,20.11.2015,2017-11-29,2015-11-20,740
2031526,30592,555279,2017-11-21,1,SI,23080803,4,4.01,3.63,4.04,8.38,0,3265,2017-11-24,NA,0.007,65088362,0,1,NA,NA,0,6747,0,0,NA,2.95,30.33,Holstein,22.10.2005,8,01.05.2016,2017-11-23,2016-05-01,571
2032145,2129,555626,2017-11-29,1,SI,83094288,6.8,4.44,3.98,4.42,9.11,0,695,2017-11-29,NA,0.014,65097142,0,1,NA,NA,0,6756,0,0,NA,0.6,47.19,Lisasta,22.10.2005,10,04.07.2017,2017-11-28,2017-07-04,147
2032667,31494,555734,2017-11-24,1,SI,83079780,4.6,3.54,3.16,4.56,8.43,0,156,2017-11-30,NA,0.007,65101110,0,1,NA,NA,0,6762,0,0,NA,1.46,42.94,Lisasta,08.11.2005,10,12.04.2017,2017-11-29,2017-04-12,231
2039791,37688,555182,2017-11-22,1,SI,53167514,4.9,3.82,2.75,4.5,7.96,0,45,2017-11-23,NA,0.009,65085450,0,1,NA,NA,0,6747,0,0,NA,1.56,44.1,Holstein,01.12.2005,7,11.08.2017,2017-11-22,2017-08-11,103
2047641,3736,555214,2017-11-23,1,SI,93109185,6.4,5.72,4,4.27,8.97,0,722,2017-11-24,NA,0.015,65087865,0,1,NA,NA,0,6747,0,0,NA,1.86,40.27,Holstein,01.12.2005,8,20.10.2016,2017-11-23,2016-10-20,399
2053032,2032,555494,2017-11-27,1,SI,73168740,7.8,4.83,4.12,4.49,9.33,0,1665,2017-11-27,NA,0.007,65092341,0,1,NA,NA,0,6753,0,0,NA,0.22,43.7,Lisasta,24.11.2005,10,15.08.2017,2017-11-26,2017-08-15,103
2060837,22659,555691,2017-11-27,1,SI,23096853,1.5,4.59,4.68,3.66,9.05,0,1058,2017-11-30,NA,0.004,65100745,0,2,NA,NA,0,6762,0,0,NA,2.42,30.77,Lisasta,02.12.2005,7,30.06.2016,2017-11-29,2016-06-30,517
2062345,15997,555378,2017-11-22,1,SI,63172603,4.8,3.19,3.86,4.64,9.21,0,95,2017-11-24,NA,0.019,65089955,0,2,NA,NA,0,6750,0,0,NA,1.41,39.36,Holstein,01.01.2006,7,16.11.2016,2017-11-23,2016-11-16,372
2067694,7345,555352,2017-11-23,1,SI,73173108,12.8,3.73,3.49,4.31,8.51,0,415,2017-11-24,NA,0.017,65089404,0,2,NA,NA,0,6750,0,0,NA,1.47,39.38,Lisasta,16.12.2005,9,04.05.2017,2017-11-23,2017-05-04,203
2073321,30928,555490,2017-11-27,1,SI,83174311,4,4.16,3.76,4.33,8.8,0,247,2017-11-27,NA,0.021,65091953,0,1,NA,NA,0,6750,0,0,NA,1.33,41.05,Lisasta,10.01.2006,9,03.10.2016,2017-11-26,2016-10-03,419
2073802,31797,555600,2017-11-28,2,SI,23171998,7.2,3.6,3.7,4.15,8.56,0,803,2017-11-29,NA,0.023,65096857,0,1,NA,NA,0,6756,0,0,NA,1.67,36.84,Lisasta,01.01.2006,9,12.01.2017,2017-11-28,2017-01-12,320
2077615,8323,555588,2017-11-27,1,SI,43170658,4.6,5.24,3.94,4.01,8.66,0,1674,2017-11-28,NA,0.006,65094316,0,1,NA,NA,0,6753,0,0,NA,1.33,42.48,Lisasta,22.10.2005,10,01.01.2017,2017-11-27,2017-01-01,330
2084610,31673,555417,2017-11-24,2,SI,23173660,7.4,3.33,3.18,4.46,8.35,0,21,2017-11-27,NA,0.012,65091285,0,1,NA,NA,0,6750,0,0,NA,1.39,41.75,Lisasta,27.01.2006,10,24.09.2017,2017-11-26,2017-09-24,63
2089598,846,555342,2017-11-23,2,SI,93176491,4,4.76,3.52,4.73,8.96,0,264,2017-11-24,NA,0.002,65089219,0,2,NA,NA,0,6747,0,0,NA,1.34,43.3,Lisasta,10.12.2005,10,17.03.2017,2017-11-23,2017-03-17,251
2096139,3736,555214,2017-11-23,2,SI,13169503,14.4,3.61,3.13,4.58,8.42,0,43,2017-11-24,NA,0.017,65087866,0,1,NA,NA,0,6747,0,0,NA,2.34,38.48,Holstein,13.03.2006,8,26.08.2017,2017-11-23,2017-08-26,89
2096648,9212,555221,2017-11-22,2,SI,13176286,5.8,3.5,3.15,4.84,8.7,0,40,2017-11-24,NA,0.027,65087994,0,2,NA,NA,0,6747,0,0,NA,1.93,38.75,Lisasta,03.02.2006,9,15.07.2017,2017-11-23,2017-07-15,131
2105237,5301,555289,2017-11-23,1,SI,43178412,16.5,3.22,3.25,4.83,8.8,0,64,2017-11-24,NA,0.014,65088504,0,1,NA,NA,0,6747,-0.02,-0.06,NA,1.02,44.16,Lisasta,25.03.2006,9,12.10.2017,2017-11-23,2017-10-12,42
2114540,8897,555325,2017-11-22,1,SI,13184142,6.4,3.13,3.68,4.26,8.66,0,298,2017-11-24,NA,0.01,65088929,0,1,NA,NA,0,6747,0,0,NA,2.1,37.21,Rjava,14.04.2006,8,17.06.2017,2017-11-23,2017-06-17,159
2115049,3736,555214,2017-11-23,3,SI,13216296,8.2,3.74,2.89,4.63,8.23,0,48,2017-11-24,NA,0.03,65087867,0,1,NA,NA,0,6747,0,0,NA,1.35,44.29,Holstein,18.03.2006,8,04.11.2017,2017-11-23,2017-11-04,19
2117176,11424,555322,2017-11-23,1,SI,33231118,11.8,3.98,3.67,4.47,8.85,0,3481,2017-11-24,NA,0.013,65088826,0,2,NA,NA,0,6747,0,0,NA,1.96,39.88,Lisasta,15.04.2006,9,27.08.2017,2017-11-23,2017-08-27,88
2119598,6753,555198,2017-11-23,1,SI,23178971,14.1,5.06,3.99,4.52,9.22,0,114,2017-11-23,NA,0.017,65085691,0,1,NA,NA,0,6747,-0.02,-0.09,NA,0.76,46.03,Holstein,16.04.2006,6,14.06.2015,2017-11-22,2015-06-14,892
2133064,15948,555742,2017-11-24,1,SI,23208061,16.4,3.77,2.89,4.34,7.94,0,168,2017-11-30,NA,0.028,65102326,0,1,NA,NA,0,6765,0,0,NA,3,34.91,Holstein,16.05.2006,8,15.11.2016,2017-11-29,2016-11-15,379
2138948,21397,555209,2017-11-23,2,SI,03241550,10.5,3.55,3.63,4.71,9.05,0,144,2017-11-24,NA,0.008,65087808,0,1,NA,NA,0,6747,0,0,NA,0,52.28,Lisasta,02.05.2006,10,15.11.2017,2017-11-23,2017-11-15,8
2145906,5355,555353,2017-11-24,2,SI,63241248,7.4,4.27,3.27,4.65,8.63,0,330,2017-11-24,NA,0.007,65089422,0,1,NA,NA,0,6750,0,-0.07,NA,2.15,38.13,Lisasta,14.05.2006,10,06.07.2017,2017-11-23,2017-07-06,140
2147150,11424,555322,2017-11-23,2,SI,23234796,9.6,3.82,3.74,4.74,9.19,0,251,2017-11-24,NA,0.019,65088827,0,2,NA,NA,0,6747,0,0,NA,0.52,47.77,Lisasta,21.05.2006,8,18.10.2017,2017-11-23,2017-10-18,36
2152761,30850,555326,2017-11-22,2,SI,93174729,8,4.39,3.28,4.63,8.62,0,545,2017-11-24,NA,0.001,65088950,0,2,NA,NA,0,6747,0.1,0.06,NA,2.39,36.55,Lisasta,28.05.2006,8,31.08.2017,2017-11-23,2017-08-31,84
2157243,10990,555205,2017-11-22,1,SI,73182845,6.5,5.2,4.11,4.48,9.3,0,203,2017-11-23,NA,0.016,65085898,0,2,NA,NA,0,6747,-0.02,-0.1,NA,0.57,47.41,Holstein,11.06.2006,7,09.07.2016,2017-11-22,2016-07-09,501
2162362,31797,555600,2017-11-28,4,SI,63237575,8,3.3,4.13,4.27,9.11,0,1620,2017-11-29,NA,0.026,65096859,0,1,NA,NA,0,6756,0,0,NA,0.69,42.79,Lisasta,12.07.2006,7,25.03.2017,2017-11-28,2017-03-25,248
2167932,3000,555688,2017-11-28,1,SI,03236051,9.7,4.11,3.4,4.54,8.65,0,2381,2017-11-30,NA,0.01,65100651,0,2,NA,NA,0,6762,0.01,-0.09,NA,1.28,42.3,Rjava,13.07.2006,9,15.09.2017,2017-11-29,2017-09-15,75
2171708,22667,555701,2017-11-25,2,SI,03128301,4.4,4.24,3.25,4.72,8.68,0,39,2017-11-30,NA,0.018,65100849,0,2,NA,NA,0,6762,0,0,NA,1.96,39.44,Lisasta,28.04.2006,10,05.07.2017,2017-11-29,2017-07-05,147
2181763,9099,555213,2017-11-22,1,SI,23244764,3.2,4.18,3.67,4.1,8.48,0,4523,2017-11-24,NA,0.001,65087847,0,2,NA,NA,0,6747,0,0,NA,1.09,41.62,Holstein,04.08.2006,7,06.08.2017,2017-11-23,2017-08-06,109
2183415,9666,555219,2017-11-22,1,SI,43245086,11.7,3.03,3.21,4.73,8.65,0,44,2017-11-24,NA,0.019,65087963,0,2,NA,NA,0,6747,0,0,NA,1.47,41.09,Lisasta,01.08.2006,8,25.09.2017,2017-11-23,2017-09-25,59
2183488,9666,555219,2017-11-22,2,SI,13245089,3,2.96,4.01,2.31,7.03,0,3643,2017-11-24,NA,0.015,65087964,0,2,NA,NA,0,6747,0,0,NA,9.52,0,Lisasta,11.08.2006,8,18.10.2016,2017-11-23,2016-10-18,401
2193065,37688,555182,2017-11-22,2,SI,13287843,5,4.46,2.87,4.3,7.88,0,1062,2017-11-23,NA,0.012,65085451,0,1,NA,NA,0,6747,0,0,NA,2.04,41.12,Holstein,31.08.2006,5,09.04.2017,2017-11-22,2017-04-09,227
2194950,15727,555224,2017-11-22,1,SI,83287729,4,4.69,3.82,4.07,8.6,0,614,2017-11-24,NA,0.015,65088035,0,2,NA,NA,0,6747,0,0,NA,1.44,40.06,Rjava,16.08.2006,7,06.08.2016,2017-11-23,2016-08-06,474
2199421,4296,555661,2017-11-28,1,SI,93288413,13.2,3.63,2.72,4.56,8,0,89,2017-11-29,NA,0.011,65099329,0,1,NA,NA,0,6762,0,0,NA,2.35,38.01,Rjava,28.08.2006,9,17.09.2017,2017-11-28,2017-09-17,72
2200882,5603,555514,2017-11-23,3,SI,43250750,5.6,4.09,4.09,4.48,9.28,0,144,2017-11-28,NA,0.019,65093604,0,2,NA,NA,0,6753,0.01,-0.1,NA,0.75,41.24,Lisasta,05.09.2006,7,07.06.2017,2017-11-27,2017-06-07,173
2205178,31661,555223,2017-11-23,1,SI,53257196,4.2,4.75,3.64,4.21,8.55,0,948,2017-11-24,NA,0.019,65088021,0,1,NA,NA,0,6747,0,0,NA,2.26,35.8,Lisasta,23.08.2006,7,20.11.2016,2017-11-23,2016-11-20,368
2209385,4307,555519,2017-11-24,1,SI,93249810,7.5,3.73,2.97,4.62,8.3,0,79,2017-11-28,NA,0.018,65093693,0,1,NA,NA,0,6753,0,0,NA,1.5,38.84,Rjava,29.09.2006,6,03.04.2017,2017-11-27,2017-04-03,238
2213465,31315,555566,2017-11-24,1,SI,43226443,13.5,4.17,3.33,4.61,8.65,0,1050,2017-11-28,NA,0.024,65094022,0,1,NA,NA,0,6753,-0.01,-0.1,NA,1.98,39.18,Rjava,20.09.2006,9,17.09.2017,2017-11-27,2017-09-17,71
2219982,15917,555593,2017-11-28,3,SI,53301271,8.1,3.19,2.84,4.71,8.25,0,33,2017-11-29,NA,0.003,65096756,0,2,NA,NA,0,6756,0,0,NA,1.76,41.86,Lisasta,25.09.2006,8,05.10.2017,2017-11-28,2017-10-05,54
2226266,7912,555714,2017-11-28,1,SI,53302650,5.5,5.09,4.57,4.31,9.59,0,97,2017-11-30,NA,0.023,65101051,0,2,NA,NA,0,6762,-0.01,-0.14,NA,0.39,45.23,Lisasta,24.10.2006,7,24.09.2016,2017-11-29,2016-09-24,431
2227838,10352,555290,2017-11-24,2,SI,93303901,7,4.21,3.39,4.61,8.71,0,123,2017-11-24,NA,0.007,65088551,0,2,NA,NA,0,6747,0,0,NA,1.3,43.25,Lisasta,19.10.2006,7,02.08.2017,2017-11-23,2017-08-02,113
2229130,21248,555421,2017-11-24,3,SI,03300172,6.2,3.82,3.33,4.17,8.2,0,177,2017-11-27,NA,0.025,65091311,0,1,NA,NA,0,6750,0,0,NA,1.98,36.59,Lisasta,02.11.2006,8,24.02.2017,2017-11-26,2017-02-24,275
2231895,11403,555332,2017-11-23,1,SI,13293958,11.8,4.04,3.48,4.76,8.95,0,68,2017-11-24,NA,0.006,65089089,0,1,NA,NA,0,6747,0,0,NA,1.87,39.54,Lisasta,12.11.2006,7,12.08.2017,2017-11-23,2017-08-12,103
2232365,7777,555745,2017-11-27,3,SI,73213307,6,4.01,3.58,4.64,8.93,0,68,2017-11-30,NA,0.028,65102387,0,2,NA,NA,0,6765,0,0,NA,0.46,49.3,Rjava,09.11.2006,7,25.05.2017,2017-11-29,2017-05-25,188
2233069,4743,555563,2017-11-28,1,SI,83302547,11.2,4.71,3.87,4.15,8.73,0,342,2017-11-28,NA,0.016,65093932,0,1,NA,NA,0,6753,-0.05,-0.12,NA,1.08,44.04,Holstein,17.11.2006,7,16.07.2017,2017-11-27,2017-07-16,134
2236002,86,555236,2017-11-21,2,SI,03226265,10.5,3.93,3.18,4.61,8.5,0,64,2017-11-24,NA,0.017,65088180,0,2,NA,NA,0,6747,0,0,NA,0.9,44.37,Rjava,23.11.2006,8,27.10.2017,2017-11-23,2017-10-27,27
2247435,9099,555213,2017-11-22,2,SI,43300972,4.4,4.73,4.66,4.17,9.53,0,260,2017-11-24,NA,0.011,65087848,0,2,NA,NA,0,6747,0,0,NA,0,47.14,Holstein,30.11.2006,6,13.12.2016,2017-11-23,2016-12-13,345
2248593,7348,555684,2017-11-29,2,SI,73304863,7.7,4.91,3.74,4.28,8.74,0,6592,2017-11-30,NA,0.008,65100575,0,1,NA,NA,0,6762,0.03,-0.08,NA,0.88,44.85,Lisasta,03.12.2006,8,28.01.2017,2017-11-29,2017-01-28,305
2249779,10346,555632,2017-11-28,6,SI,53304243,8.3,3.91,4.44,3.95,9.1,0,433,2017-11-29,NA,0.01,65097240,0,2,NA,NA,0,6756,0.04,-0.12,NA,1.88,34.58,Lisasta,15.12.2006,9,24.03.2017,2017-11-28,2017-03-24,249
2265364,22390,555246,2017-11-23,1,SI,53308034,10,4.06,3.91,4.37,8.99,0,81,2017-11-24,NA,0.001,65088268,0,1,NA,NA,0,6747,0,0,NA,0.37,49.07,Holstein,08.01.2007,8,13.03.2017,2017-11-23,2017-03-13,255
2268418,16291,555180,2017-11-21,1,SI,53298351,4.5,3.89,3.36,4.25,8.32,0,321,2017-11-23,NA,0.02,65085412,0,1,NA,NA,0,6747,0,0,NA,1.7,39.84,Holstein,04.01.2007,8,17.02.2017,2017-11-22,2017-02-17,278
2272432,11009,555752,2017-11-28,3,SI,63309766,4.5,5.19,5.18,4.37,10.21,0,843,2017-11-30,NA,0.012,65102516,0,1,NA,NA,0,6765,0,0,NA,0,50.85,Lisasta,15.01.2007,5,21.09.2015,2017-11-29,2015-09-21,800
2273456,15727,555224,2017-11-22,2,SI,53298447,4,4.74,3.75,4.07,8.53,0,599,2017-11-24,NA,0.012,65088036,0,2,NA,NA,0,6747,0,0,NA,1.32,41.93,Holstein,25.01.2007,8,20.11.2016,2017-11-23,2016-11-20,368
2278064,10862,555694,2017-11-27,2,SI,23338508,7.2,5.07,3.66,4.18,8.55,0,279,2017-11-30,NA,0.03,65100774,0,2,NA,NA,0,6762,0,0,NA,1.31,41.26,Rjava,01.02.2007,8,28.03.2017,2017-11-29,2017-03-28,246
2278111,31620,555602,2017-11-27,2,SI,13298238,4.5,4.23,3.1,4.47,8.28,0,129,2017-11-29,NA,0.01,65096911,0,1,NA,NA,0,6756,0,0,NA,1.86,38.88,Lisasta,02.02.2007,8,22.05.2017,2017-11-28,2017-05-22,190
